(43520, 49344, 60096)
(43520, 3264, 60096)
(43520, 33864, 60096)
(43520, 24672, 60096)
(43520, 16962, 60096)
(43520, 12480, 60096)
(43520, 36960, 60096)
(43520, 12300, 60096)
(43520, 6180, 60096)
(43520, 34816, 60096)
(43520, 18624, 60096)
(43520, 49224, 60096)
(43520, 33984, 60096)
(43520, 3144, 60096)
(43520, 16992, 60096)
(43520, 24642, 60096)
(43520, 40960, 60096)
(43520, 24768, 60096)
(43520, 49248, 60096)
(43520, 37056, 60096)
(43520, 12384, 60096)
(43520, 16968, 60096)
(43520, 18498, 60096)
(43520, 10240, 60096)
(43520, 9228, 60096)
(43520, 3108, 60096)
(43520, 6156, 60096)
(43520, 12324, 60096)
(43520, 1668, 60096)
(43520, 33798, 60096)
(43520, 4800, 60096)
(43520, 4620, 60096)
(43520, 6240, 60096)
(43520, 36900, 60096)
(43520, 1728, 60096)
(43520, 1584, 60096)
(43520, 9288, 60096)
(43520, 33816, 60096)
(43520, 16908, 60096)
(43520, 16944, 60096)
(43520, 24708, 60096)
(43520, 18576, 60096)
(8840, 18504, 60096)
(8840, 3264, 60096)
(8840, 33864, 60096)
(8840, 24672, 60096)
(8840, 16962, 60096)
(8840, 23040, 60096)
(8840, 20490, 60096)
(8840, 38400, 60096)
(8840, 5250, 60096)
(8840, 34816, 60096)
(8840, 49224, 60096)
(8840, 18624, 60096)
(8840, 3144, 60096)
(8840, 33984, 60096)
(8840, 16992, 60096)
(8840, 24642, 60096)
(8840, 32800, 60096)
(8840, 57408, 60096)
(8840, 16608, 60096)
(8840, 19008, 60096)
(8840, 16458, 60096)
(8840, 22536, 60096)
(8840, 20994, 60096)
(8840, 2080, 60096)
(8840, 11268, 60096)
(8840, 1068, 60096)
(8840, 34308, 60096)
(8840, 1158, 60096)
(8840, 38016, 60096)
(8840, 5634, 60096)
(8840, 53760, 60096)
(8840, 7680, 60096)
(8840, 20520, 60096)
(8840, 5280, 60096)
(8840, 1248, 60096)
(8840, 624, 60096)
(8840, 1098, 60096)
(8840, 32856, 60096)
(8840, 16428, 60096)
(8840, 564, 60096)
(8840, 16518, 60096)
(8840, 2196, 60096)
(2720, 49344, 60096)
(2720, 18504, 60096)
(2720, 24672, 60096)
(2720, 26112, 60096)
(2720, 17442, 60096)
(2720, 12480, 60096)
(2720, 36960, 60096)
(2720, 38400, 60096)
(2720, 5250, 60096)
(2720, 32776, 60096)
(2720, 51264, 60096)
(2720, 16584, 60096)
(2720, 25152, 60096)
(2720, 16482, 60096)
(2720, 25632, 60096)
(2720, 17922, 60096)
(2720, 40960, 60096)
(2720, 49248, 60096)
(2720, 24768, 60096)
(2720, 12384, 60096)
(2720, 37056, 60096)
(2720, 16968, 60096)
(2720, 18498, 60096)
(2720, 8200, 60096)
(2720, 1068, 60096)
(2720, 11268, 60096)
(2720, 34308, 60096)
(2720, 1158, 60096)
(2720, 38016, 60096)
(2720, 5634, 60096)
(2720, 50688, 60096)
(2720, 13824, 60096)
(2720, 17448, 60096)
(2720, 5256, 60096)
(2720, 588, 60096)
(2720, 4296, 60096)
(2720, 32868, 60096)
(2720, 4194, 60096)
(2720, 16440, 60096)
(2720, 540, 60096)
(2720, 16530, 60096)
(2720, 8340, 60096)
(33320, 49344, 60096)
(33320, 18504, 60096)
(33320, 16962, 60096)
(33320, 26112, 60096)
(33320, 17442, 60096)
(33320, 23040, 60096)
(33320, 20490, 60096)
(33320, 12300, 60096)
(33320, 6180, 60096)
(33320, 32776, 60096)
(33320, 16584, 60096)
(33320, 51264, 60096)
(33320, 25152, 60096)
(33320, 16482, 60096)
(33320, 25632, 60096)
(33320, 17922, 60096)
(33320, 32800, 60096)
(33320, 16608, 60096)
(33320, 57408, 60096)
(33320, 19008, 60096)
(33320, 16458, 60096)
(33320, 22536, 60096)
(33320, 20994, 60096)
(33320, 40, 60096)
(33320, 3108, 60096)
(33320, 9228, 60096)
(33320, 12324, 60096)
(33320, 6156, 60096)
(33320, 1668, 60096)
(33320, 33798, 60096)
(33320, 58368, 60096)
(33320, 55296, 60096)
(33320, 17418, 60096)
(33320, 20514, 60096)
(33320, 8268, 60096)
(33320, 12804, 60096)
(33320, 32838, 60096)
(33320, 38916, 60096)
(33320, 2160, 60096)
(33320, 3600, 60096)
(33320, 32850, 60096)
(33320, 42000, 60096)
(49344, 26112, 60096)
(49344, 17442, 60096)
(49344, 23040, 60096)
(49344, 20490, 60096)
(49344, 38400, 60096)
(49344, 5250, 60096)
(49344, 32896, 60096)
(49344, 10880, 60096)
(49344, 41480, 60096)
(49344, 35360, 60096)
(49344, 680, 60096)
(49344, 9792, 60096)
(49344, 1122, 60096)
(49344, 6720, 60096)
(49344, 4170, 60096)
(49344, 5760, 60096)
(49344, 37890, 60096)
(49344, 49152, 60096)
(49344, 27136, 60096)
(49344, 42496, 60096)
(49344, 39424, 60096)
(49344, 22016, 60096)
(49344, 16512, 60096)
(49344, 16426, 60096)
(49344, 1186, 60096)
(49344, 4234, 60096)
(49344, 21506, 60096)
