(41120, 52224, 32768)
(41120, 17544, 32768)
(41120, 3264, 32768)
(41120, 33864, 32768)
(41120, 26112, 32768)
(41120, 17442, 32768)
(41120, 1632, 32768)
(41120, 9282, 32768)
(41120, 15360, 32768)
(41120, 5160, 32768)
(41120, 12300, 32768)
(41120, 6180, 32768)
(41120, 38400, 32768)
(41120, 5250, 32768)
(41120, 4740, 32768)
(41120, 36870, 32768)
(41120, 32896, 32768)
(41120, 19584, 32768)
(41120, 50184, 32768)
(41120, 35904, 32768)
(41120, 1224, 32768)
(41120, 17952, 32768)
(41120, 25602, 32768)
(41120, 9792, 32768)
(41120, 1122, 32768)
(41120, 7200, 32768)
(41120, 13320, 32768)
(41120, 4140, 32768)
(41120, 14340, 32768)
(41120, 5760, 32768)
(41120, 37890, 32768)
(41120, 37380, 32768)
(41120, 4230, 32768)
(41120, 40960, 32768)
(41120, 27648, 32768)
(41120, 50688, 32768)
(41120, 39936, 32768)
(41120, 13824, 32768)
(41120, 17448, 32768)
(41120, 17538, 32768)
(41120, 5256, 32768)
(41120, 5154, 32768)
(41120, 8320, 32768)
(41120, 8268, 32768)
(41120, 708, 32768)
(41120, 4236, 32768)
(41120, 12804, 32768)
(41120, 2148, 32768)
(41120, 32838, 32768)
(41120, 38916, 32768)
(41120, 4134, 32768)
(41120, 3168, 32768)
(41120, 1728, 32768)
(41120, 3216, 32768)
(41120, 1584, 32768)
(41120, 9288, 32768)
(41120, 33858, 32768)
(41120, 33816, 32768)
(41120, 9234, 32768)
(41120, 16428, 32768)
(41120, 49668, 32768)
(41120, 32796, 32768)
(41120, 564, 32768)
(41120, 26628, 32768)
(41120, 16518, 32768)
(41120, 2196, 32768)
(41120, 8214, 32768)
(10280, 52224, 32768)
(10280, 17544, 32768)
(10280, 3264, 32768)
(10280, 33864, 32768)
(10280, 26112, 32768)
(10280, 17442, 32768)
(10280, 1632, 32768)
(10280, 9282, 32768)
(10280, 61440, 32768)
(10280, 20640, 32768)
(10280, 12480, 32768)
(10280, 36960, 32768)
(10280, 23040, 32768)
(10280, 20490, 32768)
(10280, 4680, 32768)
(10280, 6210, 32768)
(10280, 32896, 32768)
(10280, 50184, 32768)
(10280, 19584, 32768)
(10280, 1224, 32768)
(10280, 35904, 32768)
(10280, 17952, 32768)
(10280, 25602, 32768)
(10280, 9792, 32768)
(10280, 1122, 32768)
