rep1=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,24,27,26,29,28,31,30
rep2=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,20,23,22,26,27,24,25,31,30,29,28
rep3=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,20,23,22,28,29,30,31,25,24,27,26
rep4=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,25,26,27,28,29,30,31,20,21,22,23
rep5=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,18,22,23,21,20,28,29,31,30,26,27,25,24
rep6=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,18,24,25,27,26,28,29,31,30,20,21,23,22
rep7=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21,24,25,28,29,22,23,18,19,30,31,26,27
rep8=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,17,24,26,27,25,28,30,31,29,20,22,23,21
rep9=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,17,24,26,27,25,29,31,30,28,21,23,22,20
rep10=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,19,17,23,21,27,25,31,29
rep11=0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,31,29,27,25,23,21,19,17
rep12=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,18,19,22,23,20,21,28,29,30,31,27,26,25,24
rep13=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,18,19,24,25,26,27,28,29,30,31,21,20,23,22
rep14=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,19,18,20,21,23,22,24,25,27,26,29,28,30,31
rep15=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,19,18,20,21,23,22,26,27,25,24,31,30,28,29
rep16=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,19,18,22,23,21,20,28,29,31,30,27,26,24,25
rep17=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,19,18,24,25,27,26,28,29,31,30,21,20,22,23
rep30=0,1,2,3,4,5,6,7,8,9,10,11,16,17,18,19,12,13,14,15,24,25,26,27,28,29,30,31,20,21,22,23
rep18=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,20,21,18,19,22,23,24,25,28,29,27,26,31,30
rep19=0,1,2,3,4,5,6,7,8,9,10,11,13,12,15,14,16,17,20,21,18,19,22,23,26,27,30,31,25,24,29,28
